,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,620,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
1,2011,600,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
2,2012,580,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
3,2013,561,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
4,2014,545,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
5,2015,533,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
6,2016,525,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
7,2017,518,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
8,2018,512,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
9,2019,505,SH.DTH.MORT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
10,2010,117441,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,2011,109378,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
12,2012,101819,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
13,2013,94637,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
14,2014,87783,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
15,2015,81274,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
16,2016,75020,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
17,2017,68838,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
18,2018,63341,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
19,2019,58123,SH.DTH.MORT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
20,2010,765965,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
21,2011,711600,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
22,2012,659369,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
23,2013,611071,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
24,2014,566124,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
25,2015,525768,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
26,2016,488681,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
27,2017,455260,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
28,2018,426346,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
29,2019,399431,SH.DTH.MORT.FE,IND,India,South Asia,Lower middle income,IBRD
30,2010,40327,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
31,2011,39636,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
32,2012,38918,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
33,2013,38160,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
34,2014,37383,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
35,2015,36643,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
36,2016,35887,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
37,2017,35158,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
38,2018,34426,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
39,2019,33760,SH.DTH.MORT.FE,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
40,2010,44453,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
41,2011,42978,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
42,2012,41886,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
43,2013,40969,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
44,2014,40285,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
45,2015,39604,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
46,2016,39070,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
47,2017,38618,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
48,2018,38168,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
49,2019,37867,SH.DTH.MORT.FE,NER,Niger,Sub-Saharan Africa ,Low income,IDA
50,2010,13226,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
51,2011,12895,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
52,2012,12550,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
53,2013,12233,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
54,2014,12001,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
55,2015,11797,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
56,2016,11638,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
57,2017,11501,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
58,2018,11370,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
59,2019,11231,SH.DTH.MORT.FE,USA,United States,North America,High income,Not classified
